row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.SocialEconomic,ClimateChange.ExtremeEvents
32,"AL, Baldwin, 01003011202",1003011202,"+30.5055705,-087.9100953",0.502089619,0.489593803,0.404391854,0.51479765,0.169859304,0.532655451,0.746232516,0.657096756
33,"AL, Baldwin, 01003011300",1003011300,"+30.4293701,-087.8782358",0.502059226,0.478348291,0.306991113,0.515240934,0.251419358,0.490502023,0.800349338,0.671563527
34,"AL, Baldwin, 01003011401",1003011401,"+30.3802759,-087.7703177",0.556493441,0.568738245,0.349450873,0.597367285,0.253486517,0.542652515,0.899892899,0.683865751
35,"AL, Baldwin, 01003011403",1003011403,"+30.3194974,-087.6627032",0.525937414,0.48236211,0.315879025,0.584298935,0.23335957,0.559041513,0.825402188,0.68121856
36,"AL, Baldwin, 01003011405",1003011405,"+30.2990102,-087.5274714",0.490559163,0.453268528,0.262579823,0.569427632,0.202177884,0.491803405,0.801169517,0.653487352
37,"AL, Baldwin, 01003011406",1003011406,"+30.2696285,-087.6372770",0.508164525,0.439957681,0.296466565,0.490104405,0.286815435,0.571102095,0.798498156,0.674207336
38,"AL, Baldwin, 01003011407",1003011407,"+30.2529493,-087.7563495",0.51917937,0.545790844,0.306771906,0.681057145,0.210545175,0.408623988,0.804561764,0.676904768
39,"AL, Baldwin, 01003011408",1003011408,"+30.2375544,-087.9238804",0.465940626,0.518990241,0.301015583,0.587863875,0.115687088,0.346287523,0.715117417,0.676622656
40,"AL, Baldwin, 01003011501",1003011501,"+30.4324484,-087.6790139",0.54236344,0.553894736,0.386151088,0.545036074,0.329266063,0.545864211,0.844524726,0.591807184
41,"AL, Baldwin, 01003011502",1003011502,"+30.3818256,-087.6623514",0.58844373,0.577148796,0.455271707,0.705934464,0.319583284,0.565354244,0.809284252,0.686529363
42,"AL, Baldwin, 01003011601",1003011601,"+30.4082096,-087.5555847",0.577801204,0.656756248,0.435264453,0.628611566,0.262425686,0.56801385,0.795941049,0.697595574
43,"AL, Baldwin, 01003011602",1003011602,"+30.4109373,-087.4560135",0.54287266,0.56543175,0.348631934,0.648797897,0.207033429,0.571677226,0.769115905,0.689420478
44,"AL, Baldwin, 01003990000",1003990000,"+30.3288028,-087.8829748",0.434779585,0.537961783,0.463314574,0.492007348,0.12919958,0.473876742,0.572849763,0.374247306
45,"AL, Barbour, 01005950100",1005950100,"+32.0353533,-085.2477678",0.614815481,0.777043133,0.663354245,0.673473354,0.367051243,0.615460534,0.671127011,0.536198845
46,"AL, Barbour, 01005950200",1005950200,"+31.9222753,-085.4498309",0.640248525,0.830089917,0.677797398,0.834730357,0.254291154,0.681483471,0.677270869,0.526076512
47,"AL, Barbour, 01005950300",1005950300,"+31.7908933,-085.5670514",0.594532637,0.841151091,0.63238895,0.651728962,0.268069234,0.615196079,0.634077519,0.519116622
48,"AL, Barbour, 01005950400",1005950400,"+31.6794432,-085.5577196",0.609717285,0.816472263,0.634385852,0.703100231,0.303813126,0.612179656,0.672336196,0.525733668
49,"AL, Barbour, 01005950500",1005950500,"+31.7634183,-085.2718649",0.602722119,0.762830693,0.563782619,0.728581298,0.365963723,0.602930041,0.671492895,0.523473563
50,"AL, Barbour, 01005950600",1005950600,"+31.8783526,-085.2729215",0.606665605,0.838886708,0.57308679,0.642187824,0.432242292,0.609152955,0.631113723,0.519988943
51,"AL, Barbour, 01005950700",1005950700,"+31.9440855,-085.2620842",0.631884554,0.85369449,0.690375838,0.73698472,0.39399474,0.607705052,0.61777052,0.522666521
52,"AL, Barbour, 01005950800",1005950800,"+31.9206930,-085.1760317",0.586899574,0.761300754,0.580725814,0.687561461,0.343274159,0.612718772,0.620171208,0.502544851
